"Age"	"Geo"	"Year"	"Rate"
"Age 13-24"	"Midwest"	2008	11
"Age 13-24"	"Midwest"	2009	12
"Age 13-24"	"Midwest"	2010	12
"Age 13-24"	"Midwest"	2011	12
"Age 13-24"	"Midwest"	2012	13
"Age 13-24"	"Midwest"	2013	13
"Age 13-24"	"Midwest"	2014	12
"Age 13-24"	"Midwest"	2015	13
"Age 13-24"	"Midwest"	2016	12
"Age 13-24"	"Midwest"	2017	12
"Age 13-24"	"Midwest"	2018	11
"Age 13-24"	"Midwest"	2019	10
"Age 13-24"	"Midwest"	2020	8
"Age 13-24"	"Northeast"	2008	17
"Age 13-24"	"Northeast"	2009	17
"Age 13-24"	"Northeast"	2010	16
"Age 13-24"	"Northeast"	2011	16
"Age 13-24"	"Northeast"	2012	16
"Age 13-24"	"Northeast"	2013	15
"Age 13-24"	"Northeast"	2014	15
"Age 13-24"	"Northeast"	2015	14
"Age 13-24"	"Northeast"	2016	13
"Age 13-24"	"Northeast"	2017	13
"Age 13-24"	"Northeast"	2018	12
"Age 13-24"	"Northeast"	2019	12
"Age 13-24"	"Northeast"	2020	9
"Age 13-24"	"South"	2008	24
"Age 13-24"	"South"	2009	25
"Age 13-24"	"South"	2010	26
"Age 13-24"	"South"	2011	25
"Age 13-24"	"South"	2012	25
"Age 13-24"	"South"	2013	24
"Age 13-24"	"South"	2014	25
"Age 13-24"	"South"	2015	25
"Age 13-24"	"South"	2016	24
"Age 13-24"	"South"	2017	23
"Age 13-24"	"South"	2018	22
"Age 13-24"	"South"	2019	22
"Age 13-24"	"South"	2020	17
"Age 13-24"	"United States"	2008	16.7
"Age 13-24"	"United States"	2009	17.1
"Age 13-24"	"United States"	2010	17.6
"Age 13-24"	"United States"	2011	17.4
"Age 13-24"	"United States"	2012	17.4
"Age 13-24"	"United States"	2013	16.7
"Age 13-24"	"United States"	2014	17.5
"Age 13-24"	"United States"	2015	17.4
"Age 13-24"	"United States"	2016	16.7
"Age 13-24"	"United States"	2017	16.1
"Age 13-24"	"United States"	2018	15.3
"Age 13-24"	"United States"	2019	14.9
"Age 13-24"	"United States"	2020	11.9
"Age 13-24"	"West"	2008	11
"Age 13-24"	"West"	2009	10
"Age 13-24"	"West"	2010	11
"Age 13-24"	"West"	2011	10
"Age 13-24"	"West"	2012	11
"Age 13-24"	"West"	2013	11
"Age 13-24"	"West"	2014	12
"Age 13-24"	"West"	2015	12
"Age 13-24"	"West"	2016	13
"Age 13-24"	"West"	2017	12
"Age 13-24"	"West"	2018	12
"Age 13-24"	"West"	2019	11
"Age 13-24"	"West"	2020	9
"Age 25-34"	"Midwest"	2008	18
"Age 25-34"	"Midwest"	2009	18
