"RaceRatio"	"Geo"	"Year"	"Rate"
"AIAN-White"	"Midwest"	2008	1.5
"AIAN-White"	"Midwest"	2009	1
"AIAN-White"	"Midwest"	2010	1.5
"AIAN-White"	"Midwest"	2011	1
"AIAN-White"	"Midwest"	2012	1.8
"AIAN-White"	"Midwest"	2013	1.5
"AIAN-White"	"Midwest"	2014	1.5
"AIAN-White"	"Midwest"	2015	1.2
"AIAN-White"	"Midwest"	2016	1.2
"AIAN-White"	"Midwest"	2017	1.5
"AIAN-White"	"Midwest"	2018	1.8
"AIAN-White"	"Midwest"	2019	2.2
"AIAN-White"	"Midwest"	2020	3.3
"AIAN-White"	"Northeast"	2008	0.3
"AIAN-White"	"Northeast"	2009	0.8
"AIAN-White"	"Northeast"	2010	0.7
"AIAN-White"	"Northeast"	2011	0
"AIAN-White"	"Northeast"	2012	1.4
"AIAN-White"	"Northeast"	2013	0.6
"AIAN-White"	"Northeast"	2014	1.4
"AIAN-White"	"Northeast"	2015	1.5
"AIAN-White"	"Northeast"	2016	2
"AIAN-White"	"Northeast"	2017	1
"AIAN-White"	"Northeast"	2018	1.5
"AIAN-White"	"Northeast"	2019	1.3
"AIAN-White"	"Northeast"	2020	2
"AIAN-White"	"South"	2008	0.6
"AIAN-White"	"South"	2009	0.6
"AIAN-White"	"South"	2010	0.8
"AIAN-White"	"South"	2011	0.8
"AIAN-White"	"South"	2012	0.8
"AIAN-White"	"South"	2013	0.7
"AIAN-White"	"South"	2014	0.9
"AIAN-White"	"South"	2015	1.1
"AIAN-White"	"South"	2016	1.1
"AIAN-White"	"South"	2017	1
"AIAN-White"	"South"	2018	0.9
"AIAN-White"	"South"	2019	1.3
"AIAN-White"	"South"	2020	1.2
"AIAN-White"	"United States"	2008	1
"AIAN-White"	"United States"	2009	1.1
"AIAN-White"	"United States"	2010	1.2
"AIAN-White"	"United States"	2011	1.1
"AIAN-White"	"United States"	2012	1.4
"AIAN-White"	"United States"	2013	1.2
"AIAN-White"	"United States"	2014	1.5
"AIAN-White"	"United States"	2015	1.4
"AIAN-White"	"United States"	2016	1.9
"AIAN-White"	"United States"	2017	1.8
"AIAN-White"	"United States"	2018	1.6
"AIAN-White"	"United States"	2019	1.9
"AIAN-White"	"United States"	2020	2.2
"AIAN-White"	"West"	2008	1.1
"AIAN-White"	"West"	2009	1.1
"AIAN-White"	"West"	2010	1.2
"AIAN-White"	"West"	2011	1.2
"AIAN-White"	"West"	2012	1.4
"AIAN-White"	"West"	2013	1.6
"AIAN-White"	"West"	2014	1.6
"AIAN-White"	"West"	2015	1.6
"AIAN-White"	"West"	2016	2.3
"AIAN-White"	"West"	2017	2.1
"AIAN-White"	"West"	2018	1.7
"AIAN-White"	"West"	2019	2
"AIAN-White"	"West"	2020	2.2
"Asian-White"	"Midwest"	2008	1.2
"Asian-White"	"Midwest"	2009	1.2
"Asian-White"	"Midwest"	2010	1
"Asian-White"	"Midwest"	2011	1.2
"Asian-White"	"Midwest"	2012	0.8
"Asian-White"	"Midwest"	2013	1.2
"Asian-White"	"Midwest"	2014	1.2
"Asian-White"	"Midwest"	2015	1.5
"Asian-White"	"Midwest"	2016	1.2
"Asian-White"	"Midwest"	2017	1.2
"Asian-White"	"Midwest"	2018	1
"Asian-White"	"Midwest"	2019	1
"Asian-White"	"Midwest"	2020	1.3
"Asian-White"	"Northeast"	2008	1
"Asian-White"	"Northeast"	2009	1.2
"Asian-White"	"Northeast"	2010	0.7
"Asian-White"	"Northeast"	2011	1
"Asian-White"	"Northeast"	2012	1
"Asian-White"	"Northeast"	2013	0.8
"Asian-White"	"Northeast"	2014	1
"Asian-White"	"Northeast"	2015	1.2
"Asian-White"	"Northeast"	2016	1.5
"Asian-White"	"Northeast"	2017	1.2
"Asian-White"	"Northeast"	2018	1.5
"Asian-White"	"Northeast"	2019	1.3
"Asian-White"	"Northeast"	2020	1
"Asian-White"	"South"	2008	0.7
"Asian-White"	"South"	2009	0.6
"Asian-White"	"South"	2010	0.6
"Asian-White"	"South"	2011	0.8
"Asian-White"	"South"	2012	0.8
"Asian-White"	"South"	2013	0.9
"Asian-White"	"South"	2014	0.9
"Asian-White"	"South"	2015	1
"Asian-White"	"South"	2016	0.9
"Asian-White"	"South"	2017	0.9
"Asian-White"	"South"	2018	0.9
"Asian-White"	"South"	2019	0.7
"Asian-White"	"South"	2020	0.7
"Asian-White"	"United States"	2008	0.8
"Asian-White"	"United States"	2009	0.8
"Asian-White"	"United States"	2010	0.8
"Asian-White"	"United States"	2011	0.9
"Asian-White"	"United States"	2012	0.9
"Asian-White"	"United States"	2013	0.9
"Asian-White"	"United States"	2014	1
"Asian-White"	"United States"	2015	1.1
"Asian-White"	"United States"	2016	1.1
"Asian-White"	"United States"	2017	1.1
"Asian-White"	"United States"	2018	1
"Asian-White"	"United States"	2019	0.8
"Asian-White"	"United States"	2020	0.8
"Asian-White"	"West"	2008	0.6
"Asian-White"	"West"	2009	0.7
"Asian-White"	"West"	2010	0.7
"Asian-White"	"West"	2011	0.8
"Asian-White"	"West"	2012	0.8
"Asian-White"	"West"	2013	0.9
"Asian-White"	"West"	2014	0.9
"Asian-White"	"West"	2015	1
"Asian-White"	"West"	2016	0.9
"Asian-White"	"West"	2017	1
"Asian-White"	"West"	2018	0.7
"Asian-White"	"West"	2019	0.8
"Asian-White"	"West"	2020	0.7
"Black-White"	"Midwest"	2008	12
"Black-White"	"Midwest"	2009	12
"Black-White"	"Midwest"	2010	11.5
"Black-White"	"Midwest"	2011	11
"Black-White"	"Midwest"	2012	11
"Black-White"	"Midwest"	2013	11
"Black-White"	"Midwest"	2014	10.5
"Black-White"	"Midwest"	2015	10.5
"Black-White"	"Midwest"	2016	10.8
"Black-White"	"Midwest"	2017	10.5
"Black-White"	"Midwest"	2018	10
"Black-White"	"Midwest"	2019	9.8
"Black-White"	"Midwest"	2020	11.3
"Black-White"	"Northeast"	2008	12.7
"Black-White"	"Northeast"	2009	13.4
"Black-White"	"Northeast"	2010	10.5
"Black-White"	"Northeast"	2011	11.8
"Black-White"	"Northeast"	2012	11.4
"Black-White"	"Northeast"	2013	10
"Black-White"	"Northeast"	2014	10.4
"Black-White"	"Northeast"	2015	12
"Black-White"	"Northeast"	2016	11.2
"Black-White"	"Northeast"	2017	11.2
"Black-White"	"Northeast"	2018	10.2
"Black-White"	"Northeast"	2019	13.3
"Black-White"	"Northeast"	2020	10.7
"Black-White"	"South"	2008	8.9
"Black-White"	"South"	2009	9.2
"Black-White"	"South"	2010	8.6
"Black-White"	"South"	2011	8.1
"Black-White"	"South"	2012	7.5
"Black-White"	"South"	2013	8.1
"Black-White"	"South"	2014	8.1
"Black-White"	"South"	2015	8.1
"Black-White"	"South"	2016	7.9
"Black-White"	"South"	2017	7.6
"Black-White"	"South"	2018	7.3
"Black-White"	"South"	2019	7.1
"Black-White"	"South"	2020	6.7
"Black-White"	"United States"	2008	9.7
"Black-White"	"United States"	2009	9.7
"Black-White"	"United States"	2010	9.4
"Black-White"	"United States"	2011	9.3
"Black-White"	"United States"	2012	8.7
"Black-White"	"United States"	2013	8.7
"Black-White"	"United States"	2014	8.7
"Black-White"	"United States"	2015	8.8
"Black-White"	"United States"	2016	8.7
"Black-White"	"United States"	2017	8.7
"Black-White"	"United States"	2018	8.5
"Black-White"	"United States"	2019	8.6
"Black-White"	"United States"	2020	8.1
"Black-White"	"West"	2008	5.4
"Black-White"	"West"	2009	5.4
"Black-White"	"West"	2010	5.3
